# win,Player1_time, Player2_time
         1,0.0004155636,0.0007457733
        -1,0.0003554821,0.0006530285
         1,0.0004308224,0.0007948875
         1,0.0004324913,0.0007922649
        -1,0.0002987385,0.0006215572
        -1,0.0002152920,0.0004706383
         1,0.0003089905,0.0005245209
         1,0.0003387928,0.0006155968
        -1,0.0005512238,0.0011811256
         1,0.0002872944,0.0005269051
        -1,0.0002505779,0.0004720688
        -1,0.0003845692,0.0006971359
         1,0.0006675720,0.0011012554
        -1,0.0004563332,0.0010981560
         1,0.0002672672,0.0005712509
         1,0.0002624989,0.0005850792
        -1,0.0002198219,0.0004460812
         1,0.0001504421,0.0002994537
        -1,0.0002119541,0.0004050732
         1,0.0004713535,0.0009274483
        -1,0.0006034374,0.0010173321
        -1,0.0002760887,0.0005404949
        -1,0.0003981590,0.0007867813
         1,0.0005509853,0.0009274483
         1,0.0004084110,0.0007691383
        -1,0.0002160072,0.0004177094
        -1,0.0003848076,0.0006768703
         1,0.0005614758,0.0009822845
        -1,0.0005335808,0.0011565685
        -1,0.0006339550,0.0014116764
         1,0.0002603531,0.0005536079
         1,0.0002653599,0.0004208088
         1,0.0004906654,0.0008933544
        -1,0.0001308918,0.0003087521
        -1,0.0002539158,0.0010602474
         1,0.0001633167,0.0002763271
         1,0.0001876354,0.0003945827
        -1,0.0007185936,0.0012624264
         1,0.0003750324,0.0006639957
        -1,0.0001218319,0.0002555847
         1,0.0003092289,0.0004899502
        -1,0.0003855228,0.0007522106
         1,0.0001773834,0.0004758835
         1,0.0003767014,0.0008320808
        -1,0.0003776550,0.0008556843
         1,0.0005328655,0.0010626316
        -1,0.0006399155,0.0014474392
        -1,0.0004951954,0.0008490086
        -1,0.0003721714,0.0006322861
        -1,0.0003480911,0.0005955696
        -1,0.0004241467,0.0007882118
        -1,0.0002779961,0.0005309582
         1,0.0005247593,0.0008578300
         1,0.0005388260,0.0009632111
        -1,0.0001108646,0.0002841949
        -1,0.0009562969,0.0019669533
        -1,0.0008230209,0.0020549297
        -1,0.0006887913,0.0011889935
         1,0.0001871586,0.0002930164
        -1,0.0002193451,0.0004439354
         1,0.0004041195,0.0007255077
        -1,0.0007207394,0.0014793873
         1,0.0002813339,0.0005140305
         1,0.0003001690,0.0006010532
        -1,0.0001947880,0.0004162788
        -1,0.0003852844,0.0005977154
        -1,0.0008795261,0.0019304752
         1,0.0006680489,0.0011866093
        -1,0.0004041195,0.0008387566
        -1,0.0003819466,0.0008118153
        -1,0.0005319118,0.0009272099
         1,0.0004627705,0.0010085106
         1,0.0001807213,0.0003864765
         1,0.0004253387,0.0008842945
         1,0.0006685257,0.0014533997
         1,0.0011706352,0.0026967525
        -1,0.0001263618,0.0003156662
         1,0.0006234646,0.0012094975
         1,0.0004632473,0.0009081364
        -1,0.0004234314,0.0007712841
        -1,0.0004265308,0.0007779598
         1,0.0005674362,0.0009069443
        -1,0.0010490417,0.0024185181
         1,0.0003662109,0.0006935596
         1,0.0004231930,0.0007545948
        -1,0.0005145073,0.0011568069
         1,0.0005764961,0.0010514259
        -1,0.0002913475,0.0005676746
         1,0.0004146099,0.0006842613
        -1,0.0005486012,0.0009264946
         1,0.0005838871,0.0011222363
        -1,0.0007932186,0.0020787716
        -1,0.0004684925,0.0008685589
        -1,0.0003974438,0.0007236004
         1,0.0006101131,0.0011980534
         1,0.0002264977,0.0004041195
        -1,0.0002853870,0.0005848408
        -1,0.0003838539,0.0006978512
         1,0.0004241467,0.0007002354
        -1,0.0002746582,0.0007128716
